t_wall,scan_stamp_sec,odom_stamp_sec,camera_stamp_sec,goal_stamp_sec,goal_x,goal_y,camera_h,camera_w,velocity,goal_distance,goal_angle,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17
1774177487.530136,475.459000,475.547000,475.371000,1774177487.431556,2.000000,2.000000,480,640,0.001373,2.256007,0.772844,9.503648,1.136924,0.983187,0.976427,1.028592,1.321870,2.442533,2.186940,1.494168,3.130110,4.025158,1.309469,1.090682,9.503648,9.503648,0.001373,2.256007,0.772844
1774177487.629302,475.559000,475.647000,475.571000,1774177487.431556,2.000000,2.000000,480,640,0.001377,2.256022,0.724905,9.490269,1.101081,0.973997,0.971612,1.041065,1.376508,2.730611,1.985083,1.487259,3.118789,4.443199,1.212490,1.094922,9.490269,9.490269,0.001377,2.256021,0.724905
1774177487.729408,475.659000,475.747000,475.671000,1774177487.631192,2.000000,2.000000,480,640,0.001380,2.256031,0.676264,9.478253,1.069799,0.967046,0.966823,1.056662,1.440788,3.113290,1.820862,1.500058,3.129830,3.365674,1.131038,1.103868,9.478253,9.478253,0.001380,2.256032,0.676264
1774177487.829630,475.759000,475.847000,475.671000,1774177487.631192,2.000000,2.000000,480,640,0.001188,2.256039,0.626921,9.509934,1.041458,0.962054,0.962963,1.075794,1.517032,3.645286,1.684880,1.493777,3.140076,2.709799,1.112181,1.143032,9.509934,9.509934,0.001188,2.256039,0.626921
1774177487.929574,475.859000,475.947000,475.871000,1774177487.831195,2.000000,2.000000,480,640,0.000054,2.256042,0.576824,9.500422,1.016693,0.957264,0.961460,1.098981,1.608389,4.433429,1.570687,1.495862,3.148246,2.269482,1.115613,1.198661,9.500422,9.500422,0.000054,2.256042,0.576824
1774177488.029411,475.959000,476.047000,475.871000,1774177487.831195,2.000000,2.000000,480,640,0.000078,2.255989,0.525499,9.492547,0.995044,0.952509,0.962443,1.126834,1.719024,5.191954,1.502509,1.523197,3.134383,1.954672,1.119621,9.492547,9.492547,9.492547,0.000078,2.255989,0.525499
1774177488.129636,476.059000,476.147000,476.072000,1774177488.031261,2.000000,2.000000,480,640,0.000152,2.255963,0.473705,1.202075,0.976447,0.947866,0.966130,1.160530,1.856369,3.194438,1.498177,1.587058,3.140825,1.717433,1.124579,9.487411,9.487411,9.487411,0.000152,2.255963,0.473705
1774177488.229420,476.159000,476.247000,476.171000,1774177488.031261,2.000000,2.000000,480,640,0.004324,2.255622,0.417972,1.150724,0.960505,0.943193,0.972752,1.200469,2.027074,2.733059,1.494041,3.146605,3.236056,1.535539,1.129846,9.483133,9.483133,9.483133,0.004324,2.255621,0.417972
1774177488.329476,476.259000,476.347000,476.272000,1774177488.231277,2.000000,2.000000,480,640,0.002432,2.255391,0.362355,1.103927,0.947239,0.938717,0.983624,1.252249,2.263573,2.370681,1.494214,3.146451,3.772043,1.382957,1.138749,9.489161,9.489161,9.489161,0.002432,2.255391,0.362355
1774177488.429299,476.359000,476.447000,476.371000,1774177488.231277,2.000000,2.000000,480,640,0.005019,2.255271,0.307396,1.064013,0.937222,0.934322,0.997762,1.312286,2.567649,2.106344,1.494207,3.147731,4.523115,1.265286,1.140420,9.492293,9.492293,9.492293,0.005019,2.255271,0.307396
