t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,lidar_front_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_direction,reward_safe,reward_risk,reward_front_safe,reward_front_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1777061059.636325,1,35,0.982804,-0.099215,0.991402,-0.049608,4.002815,7.057210,11.000179,-0.231988,0.991934,-0.043659,3.980429,6.669192,0,0,0,,-0.380833,0.000000,0.000000,0.100000,-0.074761,0.000000,-0.000000,-0.002183,0.000000,-0.000024,0.000000,6.989801,4.877389,4.058377,3.980429,4.098835,5.041705,8.455260,11.738085,5.885268,4.362459,4.019623,4.022539,4.481576,6.292600,6.929693
1777061059.796230,1,36,0.982924,-0.097997,0.991462,-0.048998,3.981623,7.224303,10.836187,-0.228401,0.991998,-0.043056,3.993678,6.684719,0,0,0,,-0.349033,0.000000,0.000000,0.100000,-0.074518,0.000000,-0.000000,-0.002153,0.000000,-0.000007,0.000000,7.085909,4.908185,4.075233,3.993678,4.108157,5.041892,8.416816,11.836597,5.892616,4.355968,4.006456,4.008772,4.457699,6.240412,7.027755
1777061059.957649,1,37,0.983002,-0.092922,0.991501,-0.046461,3.963895,7.371866,10.691370,-0.225487,0.992039,-0.040680,3.981546,6.716756,0,0,0,,-0.375615,0.000000,0.000000,0.100000,-0.074748,0.000000,-0.000000,-0.002034,0.000000,-0.000026,0.000000,7.275698,4.968257,4.107780,4.018594,4.125892,5.041804,8.342896,11.878065,5.908257,4.344092,3.981546,3.982734,4.412323,6.141438,7.224419
1777061060.116795,1,38,0.983115,-0.085595,0.991557,-0.042798,3.945932,7.529386,10.536791,-0.222845,0.992098,-0.037266,3.957989,6.746586,0,0,0,,-0.236864,0.000000,0.000000,0.100000,-0.075197,0.000000,-0.000000,-0.001863,0.000000,-0.000037,0.000000,7.467324,5.024646,4.138453,4.042095,4.142787,5.042511,8.278139,11.702084,5.922657,4.332926,3.957989,3.958647,4.370741,6.051862,7.421162
1777061060.267665,1,39,0.983235,-0.088615,0.991618,-0.044308,3.928882,7.687017,10.382115,-0.220337,0.992161,-0.038625,3.946848,6.761277,0,0,0,,-0.135031,0.000000,0.000000,0.100000,-0.075414,0.000000,-0.000000,-0.001931,0.000000,-0.000016,0.000000,7.564345,5.052271,4.153193,4.053281,4.150883,5.042894,8.247873,11.721134,5.929810,4.327695,3.946848,3.947256,4.351100,6.009775,7.519557
1777061060.427426,1,40,0.983310,-0.086685,0.991655,-0.043343,3.913740,7.834893,10.237019,-0.217989,0.992200,-0.037703,3.925698,6.794536,0,0,0,,-0.076240,0.000000,0.000000,0.100000,-0.075823,0.000000,-0.000000,-0.001885,0.000000,-0.000010,0.000000,7.755588,5.106815,4.181940,4.074407,4.165983,5.042023,8.184703,11.903016,5.947071,4.318800,3.925797,3.925698,4.313092,5.927567,7.716781
1777061060.587535,1,41,0.983405,-0.072807,0.991702,-0.036403,3.898449,7.992720,10.082167,-0.216137,0.992250,-0.031272,3.915555,6.811059,0,0,0,,0.046907,0.000000,0.000000,0.100000,-0.076024,0.000000,-0.000000,-0.001564,0.000000,-0.000070,0.000000,7.851912,5.132898,4.195588,4.084398,4.173091,5.041544,8.155114,11.993537,5.955739,4.314725,3.915895,3.915555,4.295169,5.888927,7.815413
1777061060.748080,1,42,0.983466,-0.067333,0.991733,-0.033667,3.883915,8.150626,9.927258,-0.214998,0.992283,-0.028721,3.896451,6.834367,0,0,0,,0.133662,0.000000,0.000000,0.100000,-0.076399,0.000000,-0.000000,-0.001436,0.000000,-0.000028,0.000000,8.045697,5.179876,4.221029,4.103607,4.187569,5.043991,8.111937,11.988680,5.966517,4.305340,3.897186,3.896451,4.263147,5.822348,8.012506
1777061060.907758,1,43,0.983568,-0.064680,0.991784,-0.032340,3.870067,8.308601,9.772312,-0.214190,0.992335,-0.027473,3.878608,6.855599,0,0,0,,0.216204,0.000000,0.000000,0.100000,-0.076755,0.000000,-0.000000,-0.001374,0.000000,-0.000014,0.000000,8.240016,5.223998,4.245104,4.121515,4.201464,5.046960,8.074160,11.790346,5.975966,4.296312,3.879700,3.878608,4.233589,5.761619,8.209967
1777061061.058734,1,44,0.983702,-0.070607,0.991851,-0.035304,3.856888,8.466642,9.617329,-0.213271,0.992405,-0.030181,3.870027,6.867317,0,0,0,,0.294729,0.000000,0.000000,0.100000,-0.076930,0.000000,-0.000000,-0.001509,0.000000,-0.000030,0.000000,8.338192,5.246075,4.256780,4.130081,4.207994,5.047914,8.054585,11.691434,5.981582,4.292308,3.871386,3.870027,4.219278,5.731986,8.308827
