t_wall,episode,step,raw_action_0,raw_action_1,cmd_linear_x,cmd_angular_z,pos_x,pos_y,goal_distance,goal_angle,linear_x,angular_z,lidar_min,done,terminated,truncated,terminal_reason,reward_total,reward_progress,reward_safe,reward_risk,reward_turn,reward_stop,reward_smooth,reward_terminal,lidar_feat_0,lidar_feat_1,lidar_feat_2,lidar_feat_3,lidar_feat_4,lidar_feat_5,lidar_feat_6,lidar_feat_7,lidar_feat_8,lidar_feat_9,lidar_feat_10,lidar_feat_11,lidar_feat_12,lidar_feat_13,lidar_feat_14
1774537241.991872,227,2,-0.656869,-0.999996,-0.656869,-1.999992,0.042491,0.002703,3.489404,-2.095289,-0.584673,-1.783438,1000.000000,0,0,0,,-0.241388,-0.006612,0.000000,-0.000000,-0.089172,0.000000,-0.020813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537242.172061,227,3,0.936054,-0.999974,0.936054,-1.999947,0.010523,-0.008811,3.459642,-1.730568,0.076339,-3.187838,1000.000000,0,0,0,,-0.263183,0.014881,0.000000,-0.000000,-0.159392,0.000000,-0.015930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537242.352748,227,4,0.941232,-0.999995,0.941232,-1.999990,0.007159,-0.104796,3.385758,-1.167562,0.794739,-1.498855,1000.000000,0,0,0,,0.384496,0.036942,0.000000,-0.000000,-0.074943,0.000000,-0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537242.531393,227,5,0.976572,-0.999996,0.976572,-1.999992,0.051067,-0.264586,3.299933,-0.873630,0.948324,-2.000136,1000.000000,0,0,0,,0.693103,0.042912,0.000000,-0.000000,-0.100007,0.000000,-0.000353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537242.713530,227,6,0.956335,-0.998696,0.956335,-1.997392,0.036802,-0.430586,3.173630,-0.547505,0.930699,-1.999409,1000.000000,0,0,0,,0.952041,0.063151,0.000000,-0.000000,-0.099970,0.000000,-0.000228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537242.902691,227,7,0.998988,-0.997936,0.998988,-1.995871,-0.043926,-0.594500,3.003014,-0.186675,0.970048,-2.005786,1000.000000,0,0,0,,1.146071,0.085308,0.000000,-0.000000,-0.100289,0.000000,-0.000442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537243.081770,227,8,0.998396,-0.941193,0.998396,-1.882386,-0.171129,-0.713403,2.828913,0.154058,0.973956,-1.888635,1000.000000,0,0,0,,1.161824,0.087050,0.000000,-0.000000,-0.094432,0.000000,-0.001141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537243.262447,227,9,0.998582,-0.499162,0.998582,-0.998323,-0.328220,-0.795127,2.657977,0.362550,0.988232,-0.985932,1000.000000,0,0,0,,1.142722,0.085468,0.000000,-0.000000,-0.049297,0.000000,-0.008842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537243.443413,227,10,0.999077,0.736942,0.999077,1.473884,-0.485894,-0.873159,2.490059,0.191809,0.979982,1.481062,1000.000000,0,0,0,,1.151381,0.083959,0.000000,-0.000000,-0.074053,0.000000,-0.024727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1774537243.623780,227,11,0.999574,0.463583,0.999574,0.927167,-0.624548,-0.983421,2.313879,0.024326,0.986758,0.934810,1000.000000,0,0,0,,1.227580,0.088090,0.000000,-0.000000,-0.046741,0.000000,-0.005472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
